order,id,scene,frame,description,crop_xyxy,display_mask_pixels,k0_point_rel,k3_point_rel,point_rel_delta,k0_depth_rel,k3_depth_rel,depth_rel_delta,gif,preview
15,ai_018_003_cam_00_frame.0085,ai_018_003,85,窗格与邻近竖直框架,0 48 96 144,3226,0.0393759123980999,0.021329091861844063,-0.018046820536255836,0.03700229525566101,0.019518790766596794,-0.017483504489064217,items/15_ai_018_003_cam_00_frame.0085/train_rod_orbit.gif,items/15_ai_018_003_cam_00_frame.0085/train_rod_preview.png
16,ai_018_003_cam_00_frame.0099,ai_018_003,99,桌椅的平行细腿,64 96 160 192,3226,0.02872130461037159,0.015841655433177948,-0.012879649177193642,0.026375683024525642,0.014665606431663036,-0.011710076592862606,items/16_ai_018_003_cam_00_frame.0099/train_rod_orbit.gif,items/16_ai_018_003_cam_00_frame.0099/train_rod_preview.png
17,ai_036_002_cam_00_frame.0000,ai_036_002,0,书架格栅、桌腿和台灯细杆,32 96 128 192,3226,0.18842419981956482,0.15732549130916595,-0.031098708510398865,0.1597323715686798,0.10792877525091171,-0.0518035963177681,items/17_ai_036_002_cam_00_frame.0000/train_rod_orbit.gif,items/17_ai_036_002_cam_00_frame.0000/train_rod_preview.png
18,ai_036_002_cam_00_frame.0014,ai_036_002,14,屋顶横梁、吊灯线与窗框,48 0 144 96,3226,0.18500864505767822,0.060655735433101654,-0.12435290962457657,0.1826571524143219,0.05503188818693161,-0.1276252642273903,items/18_ai_036_002_cam_00_frame.0014/train_rod_orbit.gif,items/18_ai_036_002_cam_00_frame.0014/train_rod_preview.png
19,ai_036_002_cam_00_frame.0028,ai_036_002,28,交叉屋梁和吊灯细线,112 0 208 96,3226,0.059568118304014206,0.03258763998746872,-0.026980478316545486,0.05548952892422676,0.019265729933977127,-0.036223798990249634,items/19_ai_036_002_cam_00_frame.0028/train_rod_orbit.gif,items/19_ai_036_002_cam_00_frame.0028/train_rod_preview.png
20,ai_036_002_cam_00_frame.0042,ai_036_002,42,吊灯链条与书架格栅,80 16 176 112,3226,0.09566278010606766,0.03760362043976784,-0.05805915966629982,0.09473547339439392,0.024022873491048813,-0.07071259990334511,items/20_ai_036_002_cam_00_frame.0042/train_rod_orbit.gif,items/20_ai_036_002_cam_00_frame.0042/train_rod_preview.png
21,ai_036_002_cam_00_frame.0057,ai_036_002,57,屋梁、吊灯线和窗框,128 0 224 96,3226,0.021969709545373917,0.022305458784103394,0.00033574923872947693,0.018744196742773056,0.017215535044670105,-0.001528661698102951,items/21_ai_036_002_cam_00_frame.0057/train_rod_orbit.gif,items/21_ai_036_002_cam_00_frame.0057/train_rod_preview.png
22,ai_036_002_cam_00_frame.0071,ai_036_002,71,书架的重复竖杆和横格,48 96 144 192,3226,0.11886212974786758,0.06798899173736572,-0.05087313801050186,0.10629656165838242,0.053664688020944595,-0.05263187363743782,items/22_ai_036_002_cam_00_frame.0071/train_rod_orbit.gif,items/22_ai_036_002_cam_00_frame.0071/train_rod_preview.png
23,ai_036_002_cam_00_frame.0085,ai_036_002,85,书架密集格栅和书本细边,144 80 240 176,3226,0.04756234958767891,0.03323880583047867,-0.014323543757200241,0.04674770310521126,0.015149707905948162,-0.031597995199263096,items/23_ai_036_002_cam_00_frame.0085/train_rod_orbit.gif,items/23_ai_036_002_cam_00_frame.0085/train_rod_preview.png
24,ai_036_002_cam_00_frame.0099,ai_036_002,99,交叉屋梁、吊灯线与窗框,160 32 256 128,3226,0.047978758811950684,0.031023450195789337,-0.016955308616161346,0.04213005676865578,0.024069378152489662,-0.018060678616166115,items/24_ai_036_002_cam_00_frame.0099/train_rod_orbit.gif,items/24_ai_036_002_cam_00_frame.0099/train_rod_preview.png
